,id,author_id,created_at,text,source,author.location,geo.country,geo.full_name,geo.geo.bbox
1370678,1514103664385867777,1676230980,2022-04-13T04:50:18.000Z,I was privileged to train the @Toyota_UG sales teams over the weekend about the processes of lead Generation and how synergies with their marketing team would ultimately lead to increased sales.\n #marketing #sales #LeadGeneration https://t.co/AfSIkiNrcQ,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
436462,1431622951162589184,1327318694305951744,2021-08-28T14:21:24.000Z,@kampala_bags @ama_underwood U put man city there,Twitter for Android,Uganda,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
367153,1425504546185486346,953287960341999617,2021-08-11T17:09:03.000Z,"@JosephRiak6 @reuben_opolot Yes please, the blood admits us into the Kingdom of God.\n#EmbraceHoliness",Twitter for Android,,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
476474,1435426642424434691,927477319974957056,2021-09-08T02:15:55.000Z,Good morning world,Twitter for iPhone,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
437267,1431693470410940417,1041558047552954368,2021-08-28T19:01:37.000Z,Chelsea looks set to win the league.,Twitter for iPhone,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
838452,1470403986108911622,1353724990571638790,2021-12-13T14:43:23.000Z,Even Atletico Madrid is not a weak team. Playing PSG would have been better,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1336994,1511751384877748224,31395873,2022-04-06T17:03:11.000Z,@edemabenard Minutes🤣🤣🤣,Twitter for iPhone,Kampala,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1198882,1501842153873551362,794114263,2022-03-10T08:47:27.000Z,"Why waste all that energy?  It's foolish!!  Who told u that ur curses can do anything to anyone blessed by God. #Numbers 23: viii* Balaam understood it well and said, How can I curse Israel that God has blessed!! As in how????\n\n/5",Twitter for Android,UGANDA,Uganda,"Kalangala, Uganda","[32.0006903, -1.0031859, 32.7525452, -0.1477888]"
276921,1417199185267466248,1370047703258914816,2021-07-19T19:06:30.000Z,@BwanikaFelix @MichealLMarvin1 @mareawinyfridah @JosephOwino @seneCite @MrInfluencerUg1 @James_Senyonga @switflav @oreen_asiimwe Just do this and you will see what is gonna happen!!!👇👇👇👇\n#Subscribe&amp;Like\n\nhttps://t.co/BCCtH9odf8,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
195741,1410534351285243908,961997955388657664,2021-07-01T09:42:50.000Z,@KOmukungu @DoreenNasaasira You'll always come up with the most honest reply. Feminists🤡 will call it savage😂,Twitter for Android,"Entebbe, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
103710,1401952531966828545,1319135684599422977,2021-06-07T17:21:45.000Z,"@achekwech @DailyMonitor @chrisatuk @andrewbagala @ESAGALAA @jkkarungi @Akeda4 @Kujooga @TonyGlencross @KamurungiE @fayamongin @TheLoveDre @kakumirizi2002 @MLadu @NakaweesiD @DhakabaKigongo @qataharraymond @edgarbatte @JacobsOSeaman @JOBBWIRE @fmtimberlake @abubakerlubowa @JCWamala @ymmugerwa @tbutagira @jjnapio Allan how is sebei faring, does t have any?",Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
302455,1419366619743244294,4687743402,2021-07-25T18:39:07.000Z,@brfootball Never coach Liverpool 😂\nAm scared,Twitter for Android,"Kampala, Uganda",Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
1333281,1511461149853851650,3214322777,2022-04-05T21:49:54.000Z,"@EDC_LasVegas @discoveryprjct @Acraze_ Why is it only available for US Citizens, ain't we worth a try? Or we don't deserve a chance to be heard? I'm just inquiring, alot is left out by turning on geographical locations, I wanna share my passion to the world too, the love deep in me.",Twitter for Android,Kampala Uganda,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
196850,1410624319672180736,1408166965324222470,2021-07-01T15:40:20.000Z,@lynda_ddane You have been in South Sudan 😂😂😂😂,Twitter for Android,Library,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
572976,1444708709477896202,238159117,2021-10-03T16:59:32.000Z,Depends on the level at which country is. https://t.co/GuODXVZiVv,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1028071,1488047604822855683,1311556099267596290,2022-01-31T07:12:50.000Z,@MrKalz Oliver Twist I was in F.2,Twitter for iPhone,"Kampala,Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1318418,1510339776590798853,734080214981054464,2022-04-02T19:33:58.000Z,@Becky_wasen I actually wrote something academic on it... looks for screenshot,Twitter for Android,Uganda,Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
1178694,1500202914018729984,1442186126714834945,2022-03-05T20:13:41.000Z,@nbstv @chippercashapp Spice diana \nAnne kansime,Twitter for Android,,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
953171,1480769393533632513,3001501915,2022-01-11T05:11:49.000Z,The effect of overstaying home . https://t.co/LxWOhmNKHa,Twitter for Android,Uganda,Uganda,"Masindi, Uganda","[31.3677005, 1.3232415, 32.3635542, 2.3692187]"
898072,1476050376549978118,4752748234,2021-12-29T04:40:08.000Z,"If you want to survive this wave of Covid-19, don't go for a test. Thank you.",Twitter for Android,"Entebbe, Uganda",Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
595850,1446581406243622913,1303654074009690112,2021-10-08T21:00:58.000Z,@olawaletutan @Oloyedey4u Pls fb,Twitter for Android,Am Seeing You 👀,Uganda,"Jinja, Uganda","[33.0453096, 0.3849308, 33.3798758, 0.7091918]"
908651,1476869158126170113,4655485948,2021-12-31T10:53:40.000Z,those who have got plentiful from this app big ups to you👏👏 those of us who have not we try again next year 2022 https://t.co/Sk0qvniRMC,Twitter for Android,Uganda,Uganda,Uganda,"[29.5735676, -1.4812885, 35.0360497, 4.23164]"
1292310,1508520689896206342,1421887253366939650,2022-03-28T19:05:34.000Z,@bamwinejnr Ifb immediately,Twitter for Android,"Mbale, Uganda",Uganda,"Bushenyi, Uganda","[29.6771363, -0.7804233, 30.5065842, -0.0721552]"
300266,1419263341403459584,794283826092666880,2021-07-25T11:48:43.000Z,You will always feel at home with @SourceNileUG \n#SourceOFTheNileHotelExperience. https://t.co/KQ4cNveJ5a,Twitter for iPhone,"Mbarara, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
172843,1408510679695380480,1291375818875297792,2021-06-25T19:41:29.000Z,"@davvvymoore 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨\nI follow back ASAP 😃😃😃😃\n\n@yummy_tweep \n\n@yummy_tweep \n\n@yummy_tweep \n\nDon't think twice, YES YOU, \n\nPLEASE FOLLOW FOR AN INSTANT FOLLOW BACK\n\n@yummy_tweep\n\n@yummy_tweep\n\n@yummy_tweep\n\n🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨",Twitter for Android,,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
509598,1438527331816157185,453802087,2021-09-16T15:36:57.000Z,It is a mask for the hair https://t.co/aP9MSiYpDP,Twitter for Android,Uganda,Uganda,"Busia, Uganda","[33.8792354, 0.1898224, 34.1384103, 0.5928405]"
372207,1425906363234930694,1318832206702403584,2021-08-12T19:45:43.000Z,How do you use dating app?\nI want to check my heartbeat 😂,Twitter for Android,"Sydney, New South Wales",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1095340,1493683854275747842,2610834922,2022-02-15T20:29:16.000Z,THE LORD clearly says that there are people that will not enter THE GLORIOUS STATE.\n\n#Glorification,Twitter for Android,"Soroti, Uganda",Uganda,"Soroti, Uganda","[32.9483319, 1.2826619, 33.8108163, 2.0199692]"
820855,1468674017200640000,1248597592000417796,2021-12-08T20:09:07.000Z,God has come to look for sinners so that they too may be saved. Where are the lost children God has come to look for?\n\n Could they be the ones who are lingering around; wearing the purple garment while thinking they're dressed in White Linen Bright and Clean?\n #LetsGoToMenengai,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
254174,1415266548055515142,830377880366493696,2021-07-14T11:06:54.000Z,@jshmugisha Did you find out ?,Twitter for iPhone,kampala,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
516194,1439120623884808196,2413801116,2021-09-18T06:54:28.000Z,@MKasheeka @nampweraa Was also in Mbarara. Nowander they became a city coz I was surprised to find some Mbararians also jogging. Thought these things are for Kampalarians. Abe eMbarara don’t shoot🙌🙌🙌 https://t.co/QyW2XHQoRL,Twitter for iPhone,Kampala Uganda,Uganda,"Mbarara, Uganda","[30.3141825, -0.8454063, 30.81947, -0.194628]"
534896,1440995572173922307,3335739028,2021-09-23T11:04:51.000Z,@kadobamosesUG @Dphyn1 Yess..,Twitter for iPhone,Gulu City,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
116958,1403266698568998912,1312748108091199489,2021-06-11T08:23:47.000Z,@AtwiineRhinda Talk about it😲,Twitter for Android,"Mukono, Uganda",Uganda,"Mukono, Uganda","[32.5019072, -1.0027209, 33.5223859, 0.8608254]"
840790,1470676381671604232,1468317222074740738,2021-12-14T08:45:47.000Z,I pray that God to bless you and to help ensure that everything goes well in your trip. I feel very sad because if is cold and l don't have you with me https://t.co/PCJAl7fVNh,Twitter for Android,Nabweru Katooke Road,Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
590675,1446106593024565250,2388516931,2021-10-07T13:34:13.000Z,The drip is unmatched🤩 https://t.co/9XD0u7JwJR,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
532832,1440773243024015365,1333828536793231360,2021-09-22T20:21:24.000Z,"@RobinahNabbanja @PoliceUg @KagutaMuseveni Are you aware that even after the fountain of honour has directed for the release of motorcycles and vehicles, there will be kitu kidogo issuance 😁😁😁🤦🤦? Uganda tabu",Twitter for Android,,Uganda,"Sironko, Uganda","[34.1699739, 1.0851585, 34.5368968, 1.5789711]"
592031,1446210794363015170,1342452638454054913,2021-10-07T20:28:17.000Z,Big Thug Boys Dance video @ShackAlumni @I_amEliot @Swangz_Avenue @SheilahGashumba @fsnakazibwe @nbskatchup @DouglasLwangaUg @DjRoja @masakakids @h2c_dance @eddykenzoficial @yagga_mr_idiot @NtvTnation @EmmaOkema @Kasuku256 @RemoteYo @AllanSseky @Mugibson @MSA_mubs @IamApass https://t.co/uluzzBNz7u,Twitter for Android,,Uganda,Makerere University Business School,"[32.616267022736, 0.3298963314935318, 32.616267022736, 0.3298963314935318]"
996175,1484881302574743559,1130780316396937216,2022-01-22T13:31:04.000Z,All of you that have always doubted @mkainerugaba being a presidential material we are here to prove you wrong. \nThis is just the start of better days a head. \nA big credit goes to @KagutaMuseveni https://t.co/wmwLurKmO5,Twitter for Android,,Uganda,"Kiruhura, Uganda","[30.5686652, -0.7151458, 31.1547525, 0.2113953]"
1360413,1513380007963357185,1303241160060735488,2022-04-11T04:54:45.000Z,@julioceaser123 thanks for the Support 🙏🏼 https://t.co/W9q1CAjEgT,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
594937,1446532283939360783,1127882522363400193,2021-10-08T17:45:46.000Z,@OlwochG I had a great day.,Twitter for iPhone,"Kampala, Uganda",Uganda,"Mukono, Uganda","[32.5019072, -1.0027209, 33.5223859, 0.8608254]"
854973,1472039229479862273,953557717033119745,2021-12-18T03:01:16.000Z,Leaders In Uganda must be appointed not elected?? Discuss,Twitter for Android,Lira city ,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
994051,1484713199228395521,3226565237,2022-01-22T02:23:05.000Z,"@CiplaUganda Let’s encourage each of us to test ,get vaccinated and treated to reduce the risk of complications.\n@GlpcUg @CHIPO_HBV @GlobalHep @Hep_Alliance @MakerereRotary @farouqkib @GKatabazi @KaseseUg",Twitter for iPhone,"Kasese, Uganda ,Bwera ",Uganda,"Kasese, Uganda","[29.7016479, -0.2097724, 30.2976463, 0.4820432]"
669177,1453700659505766405,1110885707869011973,2021-10-28T12:30:20.000Z,Me thinking of the birthday to be celebrated tomox if is the correct one https://t.co/KAizZH03fS,Twitter for Android,"Jinja, Uganda",Uganda,Iuiu mbale main compass,"[34.17396415555432, 1.0990308391558987, 34.17396415555432, 1.0990308391558987]"
976309,1482807647694999555,972544842,2022-01-16T20:11:07.000Z,I never tire of watching Christopher Nolan bust your minds https://t.co/YCiVVhNeCB,Twitter for iPhone,Seychelles,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1078054,1492266726393794563,1249983954238701575,2022-02-11T22:38:07.000Z,Are your  deeds pleasant before God your creator\n#RevivalOfTheCross,Twitter for Android,"Kampala, Uganda",Uganda,Naalya,"[32.637059265845906, 0.36585736090549953, 32.637059265845906, 0.36585736090549953]"
860629,1472573752005251073,1163801617537409025,2021-12-19T14:25:16.000Z,@blazey_blaze \nD'major brings it back in his tune 'Speak  The Truth'\n\n#NxtReggaelizeIt https://t.co/JUwRsLsRpu,Twitter for Android,East Africa,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1315031,1510127732620935171,1382597163591606273,2022-04-02T05:31:22.000Z,@CheptorisW I love the rush hour 😂😂 makes it worth it,Twitter for iPhone,My Bed,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1018465,1487106427332218888,322043658,2022-01-28T16:52:56.000Z,Content Management Specialist to join the Digital Marketing Team within the Sadja WebSolutions organization.| @SadjaWebTools \n\nhttps://t.co/oBhWlVUKJV,Twitter Web App,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
168418,1408075193688395780,1396002924334096391,2021-06-24T14:51:01.000Z,"@KagutaMuseveni Thanks for that Your excellence, in any struggle if we don't put God first we don't succeed, That's why God will always say FEAR NOT it means God is with us.",Twitter for Android,,Uganda,"Gulu, Uganda","[32.1251757, 2.4457346, 32.8294398, 3.3008154]"
463371,1434090004368723980,242344900,2021-09-04T09:44:35.000Z,Number 14 - Fade away - @Limoblaze ft @DenaMwanaMusic from 15. \n\n#ChartShowUg - @powerfmuganda,Twitter for iPhone,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
601034,1447060682428624901,1260245487757778947,2021-10-10T04:45:26.000Z,@GloriaAra01 Is it too bad for you to show it out 😋,Twitter for Android,"Adjumani, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
218046,1412385784330604547,1054014069903187968,2021-07-06T12:19:46.000Z,@AherezaJanice If we r exchanging,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
58895,1396910878528786433,326770101,2021-05-24T19:28:01.000Z,@Good_debtor That one.,Twitter for iPhone,K-town,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
378842,1426485411505975296,1260258672116207618,2021-08-14T10:06:39.000Z,"@Aki_Cynthia @lgbtqnation @UniterTowet @Pauliee_S @Repent_Denmark @NishimweWilliam @ammishadu @LGBTHM @HarrietKavere @BaHappuch @LGBTfdn Powerful, The Glorious Blood of JESUS made a difference,\n\nEverybody must run to JESUS for there deliverance from wickedness.\n#TreasureInJesus",Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
925712,1478285199716798464,2199960847,2022-01-04T08:40:31.000Z,@rkabushenga we miss the #HavestMoneyExpo 😓😓,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1025398,1487765294974185479,2342782247,2022-01-30T12:31:02.000Z,Caption This… https://t.co/r9ZAkbMMEG,Twitter for iPhone,Kampala uganda,Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
1456561,1519448245289852928,1264292089447231489,2022-04-27T22:47:46.000Z,There's a VERY stunning instructions and Caution.\nThat Without HOLINESS no one can see the LORD\n#EternalThroneOfGod https://t.co/YWrFvWyG1H,Twitter for Android,"Kole, Northern Uganda",Uganda,"Soroti, Uganda","[32.9483319, 1.2826619, 33.8108163, 2.0199692]"
1423921,1517421072689336320,1123996806,2022-04-22T08:32:30.000Z,@PeaceAtuhaire0 My lunch https://t.co/RIDhgM7hnC,Twitter for Android,,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
789085,1465666098070700034,1175726161072205824,2021-11-30T12:56:43.000Z,@ZamoraZulfah Don't do this to me nze njja kuffa😂,Twitter for Android,Nansana west zone 2,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
229005,1413199815593369606,1372827983950585857,2021-07-08T18:14:26.000Z,@Nkesha3 @YekoJr Shall not reply to this🤣,Twitter for iPhone,uganda,Uganda,"Masindi, Uganda","[31.3677005, 1.3232415, 32.3635542, 2.3692187]"
229166,1413208300418633737,938808729071386624,2021-07-08T18:48:09.000Z,@kingsula11 Gain with @BugembeNelson,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1414731,1516848773535834119,1489338668296855553,2022-04-20T18:38:23.000Z,Be wise https://t.co/MxfXznkhcm,Twitter for Android,"Gulu, Uganda",Uganda,"Amuru, Uganda","[31.3361453, 2.2159292, 32.3647267, 3.5806725]"
783560,1465049210269671431,1421170827240919044,2021-11-28T20:05:25.000Z,Weekend's fashionist https://t.co/OQxvq5LBcf,Twitter for Android,,Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
1326543,1510991749107236867,1174334869742194690,2022-04-04T14:44:40.000Z,@bamwinejnr My girlfriend,Twitter for Android,"Kampala🇺🇬,Kigali 🇷🇼",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
613746,1448267221101330439,1233359912572538882,2021-10-13T12:39:47.000Z,My job is to eat Katogo and porridge at the funeral whether the deceased left property for the orpans or not its none of my business https://t.co/eu0zbUtHHq,Twitter for iPhone,Mutungo-Biina Road near Mugiez,Uganda,Capital Shoppers,"[32.57932254354253, 0.3111998043927019, 32.57932254354253, 0.3111998043927019]"
1304493,1509406848046272512,873970364442959872,2022-03-31T05:46:50.000Z,May the good Lord meet you at your point of need today in Jesus Name .\n#opportunities #OpenDoors #jobs2022 #blessings #testimonies https://t.co/ku1ZOkdore,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1167999,1499327803531083779,1849426500,2022-03-03T10:16:19.000Z,"Its kampal Derby,   Come on @ExpressFCUganda ⚽️⚽️ https://t.co/encAsLHCvm",Twitter for Android,kampala uganda,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
738535,1460875127302860801,243725653,2021-11-17T07:39:06.000Z,"Giving the public information is not enough, that information has to be accurate &amp; without biases. But as a communicator, I also can’t sit &amp; blame my media colleagues when facts are distorted, I have to respond to inaccuracies &amp; misrepresented facts. Guys, go get vaccinated✅. https://t.co/4vSJbsi0S6",Twitter for iPhone,Uganda,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
333616,1422087956429484033,1036773781,2021-08-02T06:52:44.000Z,@kneewereher Not that I've heard of yet. But you know how quickly we adopt Western ideologies.,Twitter for Android,"Kampala, Uganda.",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
141660,1405718773823385602,1233359912572538882,2021-06-18T02:47:27.000Z,Good morning friends of That Horny Guy🍑🍆💦~Beast Of Carthage….Wake up lets go secure the bags,Twitter for iPhone,Mutungo-Biina Road near Mugiez,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
858913,1472458590992711680,1346406126993207296,2021-12-19T06:47:39.000Z,@TheeVirginGirl @prettylili10 They don’t have a label on them,Twitter for iPhone,"Kampala, Uganda",Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
182001,1409250845267476498,1407960038384226304,2021-06-27T20:42:38.000Z,Good night Uganda good night Twitter\n#sweetdreams,Twitter for Android,Uganda,Uganda,"Mpigi, Uganda","[31.3024318, -0.1482004, 32.4269741, 0.4057946]"
259006,1415632744764301317,1044637291338223618,2021-07-15T11:22:02.000Z,@SarriLFC When did you become Trone’s wife 🥺,Twitter for iPhone,Nsambya Kirombe ku Mwala,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
191924,1410238070092353538,1690763022,2021-06-30T14:05:31.000Z,@RihamUG Do you have #Oner Zero sugar  🙏🏿,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1067514,1491438621156536323,1298559419689705473,2022-02-09T15:47:31.000Z,You left alone on a jaj man https://t.co/w3s7ebopRp,Twitter for Android,"Huen, Rukungiri, Uganda",Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
730483,1460114491404869633,1459886023597604865,2021-11-15T05:16:37.000Z,@RicOkello @devangrace The dimple 🌹🌹😍,Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1420475,1517165557480665093,1115107547596361728,2022-04-21T15:37:11.000Z,But LIFE! why do you always have to be this hard ? Huh 🤔😏,Twitter for iPhone,Uganda,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
961821,1481584105863196674,1212843899812601856,2022-01-13T11:09:11.000Z,@MrFavourN @HRMIRENE @SkylerFleur My pleasure,Twitter for Android,"Kampala, Uganda",Uganda,"Wakiso, Uganda","[32.1922973, -0.1477888, 32.6836991, 0.5850724]"
1378671,1514549250671136777,265488863,2022-04-14T10:20:54.000Z,"@rkabushenga @mofpedU Hey @mofpedU take time&amp;listen to farmers like @rkabushenga,we are In trenches together combining efforts @GovUganda economic hardship,we don’t need a foreign investor to school us on the issues to do with value addition,for your infor we are ahead of them reason we own an origin https://t.co/IK2hov4g27",Twitter for iPhone,"Washington, DC",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
329743,1421750476891099136,1406985383913701378,2021-08-01T08:31:43.000Z,@JanetMuseveni Congratulations to our participates in all games,Twitter for Android,,Uganda,"Bugiri, Uganda","[33.6123128, -1.0026505, 33.9785093, 0.7319878]"
978533,1483083157129895937,533503004,2022-01-17T14:25:53.000Z,@Kekirunga There should be food 🍱 too 😅,Twitter for iPhone,Uganda,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
430593,1431195342972858369,291885270,2021-08-27T10:02:14.000Z,"@SabitiJoseph @maureen_adong Love is a beautiful thing,  happy Anniversary to my people....\n\nMbu no more late arrivals home 🤣",Twitter for Android,"Kampala, Uganda",Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
812032,1467894883813933064,2348394559,2021-12-06T16:33:07.000Z,Remember that a manager has no right to behave abusively towards you. Take action to protect your mental health.,Twitter for iPhone,Uganda,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
1468406,1520283617531994112,1248039005809147907,2022-04-30T06:07:14.000Z,@suuna_dj we are proud of you brother 🖤💯🔥 https://t.co/cXa13vObwK,Twitter for Android,Kampala -Uganda🇺🇬🌍,Uganda,"Kampala, Uganda","[32.4166234, 0.1648531, 32.7216969, 0.4136818]"
